a,c,vol,hmix,hform,marker,name
0.333333333,0.333333333,10.54367749,0.056813673,0.108995173,square,Ni1Mn1Fe1_0
0.5,0.25,11.5776119,-0.026098125,0.013038,square,Ni2Mn1Fe1_1
0.25,0.5,10.84289776,0.059068053,0.118768708,square,Ni1Mn1Fe2_2
0.25,0.25,10.97961153,0.020034725,0.077742445,square,Ni1Mn2Fe1_3
0.25,0.5,11.32845606,-0.069886778,-0.010186123,circle,Ni1Mn1Fe2_5
0.25,0.25,10.618686,0.060377843,0.118085563,circle,Ni1Mn2Fe1_6
0.5,0.25,11.83634451,-0.04066331,-0.001527185,square,Ni2Mn1Fe1_7
0.25,0.5,11.16001277,-0.036763223,0.022937433,circle,Ni1Mn1Fe2_8
0.25,0.25,10.90637054,0.0064693,0.06417702,circle,Ni1Mn2Fe1_9
0.5,0.25,10.83379308,0.057966818,0.097102943,square,Ni2Mn1Fe1_10
0.25,0.5,10.75203774,0.04570613,0.105406785,square,Ni1Mn1Fe2_11
0.25,0.25,10.80610673,0.039437103,0.097144823,circle,Ni1Mn2Fe1_12
0.333333333,0.5,11.83002489,0.035728318,0.089238442,square,Ni2Mn1Fe3_13
0.333333333,0.166666667,10.78126529,0.05712962,0.107982497,circle,Ni2Mn3Fe1_14
0.5,0.166666667,11.20948172,0.064314265,0.102786078,square,Ni3Mn2Fe1_15
0.166666667,0.333333333,10.75597025,0.053601622,0.118164185,circle,Ni1Mn3Fe2_16
0.166666667,0.5,10.7075837,0.05014248,0.116033667,square,Ni1Mn2Fe3_17
0.666666667,0.166666667,10.92575386,0.048946168,0.075036918,square,Ni4Mn1Fe1_19
0.166666667,0.666666667,11.22254876,-0.011585345,0.055634465,circle,Ni1Mn1Fe4_20
0.166666667,0.166666667,10.58411262,0.045196645,0.108430585,square,Ni1Mn4Fe1_21
0.333333333,0.333333333,10.80397307,0.066707335,0.118888835,square,Ni2Mn2Fe2_22
0.666666667,0.166666667,11.43010256,-0.065415382,-0.039324632,square,Ni4Mn1Fe1_23
0.166666667,0.666666667,11.3294686,0.007162947,0.074382757,circle,Ni1Mn1Fe4_24
0.166666667,0.166666667,10.77019834,0.039460955,0.102694895,circle,Ni1Mn4Fe1_25
0.5,0.25,11.80295828,-0.011594344,0.027541781,square,Ni4Mn2Fe2_26
0.5,0.25,11.48851091,-0.021796988,0.017339138,square,Ni4Mn2Fe2_27
0.25,0.5,11.32468216,-0.051943964,0.007756691,square,Ni2Mn2Fe4_28
0.25,0.5,11.12867539,0.008448433,0.068149088,square,Ni2Mn2Fe4_29
0.25,0.25,10.54414091,0.063698349,0.121406069,x,Ni2Mn4Fe2_30
0.25,0.25,10.83088235,0.040232385,0.097940105,square,Ni2Mn4Fe2_31
0.375,0.5,11.13804907,0.003956864,0.054371721,square,Ni3Mn1Fe4_32
0.375,0.125,11.00876821,0.033483253,0.080908708,circle,Ni3Mn4Fe1_33
0.5,0.375,11.49051657,-0.068575451,-0.028442859,square,Ni4Mn1Fe3_34
0.5,0.125,11.32610431,0.008537381,0.046677039,square,Ni4Mn3Fe1_35
0.125,0.375,10.66995537,0.03839498,0.106384965,square,Ni1Mn4Fe3_36
0.125,0.5,10.898232,0.022399208,0.09138566,square,Ni1Mn3Fe4_37
0.25,0.375,10.87728415,0.032024811,0.090728999,circle,Ni2Mn3Fe3_38
0.375,0.25,11.41711047,-0.038088609,0.010333314,circle,Ni3Mn3Fe2_39
0.375,0.375,11.19962564,0.003442256,0.052860646,circle,Ni3Mn2Fe3_40
0.25,0.375,10.7968962,0.04893927,0.107643458,square,Ni2Mn3Fe3_41
0.375,0.25,11.10094515,0.051755213,0.100177135,circle,Ni3Mn3Fe2_42
0.375,0.375,11.15246856,0.048762403,0.098180793,square,Ni3Mn2Fe3_43
0.25,0.625,11.33273925,-0.025669733,0.03502739,circle,Ni2Mn1Fe5_44
0.25,0.125,10.64334967,0.052212168,0.10892342,square,Ni2Mn5Fe1_45
